"action","keyword","token","upos","xpos","n_docs"
"x","A4","A4","NUM,X,ADP,NOUN,PROPN","CD,LS,IN,NN,NNP",61
"x","A5","A5","NUM,PROPN","CD,NNP",21
"x","AAA","AAA","PROPN,X","NNP,GW",43
"x","ABC","ABC","NOUN,PROPN,X","NN,NNP,GW,NNPS",234
"x","ABC1","ABC1","NUM,PROPN","CD,NNP",68
"x","ACA","ACA","PROPN,DET,X,NOUN,ADJ,SYM,ADP","NNP,DT,GW,NN,JJ,SYM,IN",70
"x","ACE","ACE","PROPN,NOUN,SCONJ","NNP,NN,IN",45
"x","ACTH","ACTH","INTJ,DET,SCONJ,NOUN,ADJ,ADP,PROPN,ADV","UH,DT,IN,NN,NNS,JJ,NNP,RB",44
"x","ADAM","ADAM,ADAMs","NOUN,PROPN,ADJ","NN,NNP,JJ,NNS",44
"x","ADAMTS","ADAMTS","NOUN,PROPN,AUX","NNS,NNP,NN,VBZ,NNPS",32
"","ADP","ADP","NOUN,PROPN,ADV,ADJ,SYM,INTJ,X,VERB","NN,NNP,RB,JJ,NFP,UH,GW,VB,VBP",900
"x","AH","AH","INTJ,NOUN","UH,NN",38
"x","AKAP","AKAPs,AKAP","NOUN,ADJ,PROPN","NNS,JJ,NNP,NN",23
"x","ALD","ALD","PROPN,NOUN","NNP,NN",47
"x","AMP","AMP","SYM,NOUN,PROPN,ADV,X,INTJ,ADJ,VERB","NFP,NNS,NNP,NN,RB,GW,UH,JJ,VB",424
"x","AMPA","AMPA","DET,PROPN,NOUN,X,SYM,ADJ,ADV","DT,NNP,NN,AFX,SYM,JJ,RB",51
"x","AMPK","AMPK","NOUN,PROPN,ADJ,ADV,VERB","NN,NNP,JJ,RB,VB",53
"x","AP","AP,APs","NOUN,ADV,SYM,PROPN","NN,RB,NFP,NNP,NNS",136
"x","APC","APCs,APC","NOUN,PROPN,X","NNS,NNP,FW,GW,NN",81
"x","APP","APP","PROPN,NOUN,SYM,INTJ","NNP,NN,NFP,UH",40
"x","AR","ARs,AR","NOUN,ADV,AUX","NNS,NN,RB,VBP",20
"x","ARF","ARF,ARFs","PROPN,ADP,NOUN,ADJ,SCONJ","NNP,IN,NNS,NN,JJ",79
"x","ARID","ARID","NOUN,X,ADJ,PROPN,AUX","NN,AFX,NNS,JJ,NNP,MD",20
"x","AT","AT","ADV,ADP,PROPN,VERB,NOUN,ADJ","RB,IN,NNP,VB,NN,JJ",46
"x","ATP","ATP,ATP:","NOUN,PROPN,ADV,VERB,SYM,INTJ,ADJ,X","NN,NNP,RB,VB,NFP,UH,JJ,GW,ADD,VBP",1705
"","ATPase","ATPase,ATPases","NOUN,PROPN,ADJ,INTJ,ADV,AUX,VERB","NN,NNPS,NNP,NNS,JJ,UH,RB,VBD,VB",613
"x","AUG","AUG,AUGs","NOUN,PROPN,ADJ,X,ADV,VERB","NN,NNP,JJ,ADD,RB,VBG,NNS",67
"x","AV","AV","PROPN,AUX,NOUN","NNP,VBP,NN",74
"x","Ac","Ac","PROPN,X,VERB","NNP,LS,VB",20
"x","Adam","Adams","NOUN,PROPN","NNS,NNP,NNPS",96
"","Akt","Akt","PROPN,ADJ,ADV,NOUN","NNP,JJS,RB,NN",29
"","Alzheimer","Alzheimer","PROPN,NOUN,ADP","NNP,NN,IN",163
"x","Arg","Arg","PROPN","NNP",29
"x","Arp2","Arp2","NUM,PROPN","CD,NNP",30
"x","Asn","Asn","X,PROPN,ADJ","GW,NNP,JJ",25
"x","B1","B1","PROPN,NOUN,NUM,X","NNP,NN,CD,GW,ADD",65
"x","B12","B12","PROPN,NOUN,NUM","NNP,NN,CD",24
"x","B2","B2","PROPN,NOUN,NUM,X","NNP,NN,CD,GW,ADD",69
"x","B3","B3","NOUN,PROPN,NUM","NN,NNP,CD",23
"x","B4","B4","PROPN,NUM,X,NOUN","NNP,CD,GW,NN",34
"x","B6","B6","NOUN,PROPN,NUM,X","NN,NNP,CD,LS",76
"x","BAF","BAF","PROPN,ADJ,NOUN","NNP,JJ,NN",24
"x","BAG","BAG","PROPN,NOUN,ADJ,VERB","NNP,NN,JJ,VB",23
"x","BBS","BBS","NOUN,PROPN,ADJ,INTJ","NNS,NNP,JJ,NN,UH",29
"x","BCL2","BCL2","NOUN,PROPN,NUM","NN,NNP,CD",33
"x","BCR","BCR","NOUN,PROPN,ADJ,ADV","NN,NNP,JJ,RBR",27
"x","BMP","BMP,BMPs","NOUN,PROPN,SYM,X","NN,NNP,NFP,NNS,GW",131
"x","BRCA1","BRCA1","PROPN,X,NOUN,NUM","NNP,LS,NN,CD",58
"x","BRCA2","BRCA2","PROPN,X,NUM","NNP,GW,CD",36
"x","BTB","BTB","PROPN,NUM,NOUN,ADJ","NNP,CD,NN,JJ",44
"x","Bardet","Bardet","PROPN,NOUN","NNP,NN",49
"x","Barr","Barr","PROPN","NNP",32
"x","Bcl","Bcl,BCL","PROPN,INTJ,ADJ,NOUN,VERB,SYM,ADV","NNP,UH,JJ,NN,VB,$,RB",114
"x","Biedl","Biedl","PROPN,AUX","NNP,MD",49
"x","Blackfan","Blackfan","PROPN","NNP",35
"x","By","By","SCONJ,ADP,ADV","IN,RB",45
"x","C.","C.","ADJ,NOUN,PROPN","JJ,NN,NNP,NNS",92
"x","C1","C1,C1s","NOUN,NUM,X,PROPN","NN,CD,LS,NNP,NNS,NNPS",94
"x","C13","C13","PROPN,NOUN,NUM","NNP,NN,CD",22
"x","C18","C18","NUM,NOUN","CD,NN",24
"x","C19","C19","NUM,NOUN,PROPN","CD,NN,NNP",26
"x","C1q","C1q","NOUN,PROPN","NN,NNP",37
"x","C2","C2","NOUN,NUM,PROPN,X","NN,CD,NNP,LS",117
"x","C21","C21","NUM,PRON,NOUN,PROPN","CD,NN,NNP",35
"x","C22","C22","NUM,PROPN,NOUN","CD,NNP,NN",37
"x","C25","C25","PROPN,NOUN,NUM","NNP,NN,CD",25
"x","C2H2","C2H2","PROPN,NOUN,NUM,X","NNP,NN,CD,LS",116
"x","C3","C3","PROPN,NUM,NOUN","NNP,CD,NN",74
"x","C4","C4","PROPN,NUM,NOUN,X,ADP","NNP,CD,NN,ADD,IN",64
"x","C5","C5","NOUN,PROPN,NUM","NN,NNP,CD",63
"x","C6","C6","PROPN,NUM,NOUN","NNP,CD,NN",36
"x","C8","C8","PROPN,NUM,NOUN","NNP,CD,NN",24
"x","CA","CA,CAs","PROPN,NOUN,AUX","NNP,NN,NNS,MD",36
"x","CAAX","CAAX","PROPN,SYM,NOUN","NNP,NFP,NN",25
"x","CAG","CAG","NOUN,X,PROPN,VERB,ADJ,INTJ","NN,ADD,NNP,VB,JJ,UH,VBG",37
"x","CARD","CARD","ADP,NOUN,PROPN","IN,NN,NNP",40
"x","CC","CC","NOUN,PROPN","NN,NNP",76
"x","CCR4","CCR4","PROPN,X,NUM,NOUN","NNP,GW,CD,NN",22
"x","CCR7","CCR7","NOUN,X,NUM","NN,ADD,CD",26
"x","CD","CD","NOUN,PROPN,VERB,ADJ","NN,NNP,VBN,JJ,VB,VBD",221
"x","CD1","CD1","PROPN,NUM","NNP,CD",26
"x","CD25","CD25","NUM,NOUN,PROPN","CD,NN,NNP",62
"x","CD3","CD3","NOUN,NUM,PROPN","NN,CD,NNP",20
"x","CD4","CD4","NOUN,NUM,PROPN,X,ADP","NN,CD,NNP,LS,IN",204
"x","CD45","CD45","NOUN,PROPN,NUM","NN,NNP,CD",46
"x","CD8","CD8","NOUN,PROPN,NUM","NN,NNP,CD",146
"x","CDC","CDC","PROPN,NOUN","NNP,NN",21
"x","CDC2","CDC2","PROPN,NOUN,NUM","NNP,NN,CD",23
"x","CDC42","CDC42","PROPN,NOUN,NUM","NNP,NN,CD",29
"x","CDK","CDK,CDKs","NOUN,PROPN,X,ADJ,VERB,NUM","NN,NNP,GW,JJ,NNS,VBN,CD,VB",98
"x","CDP","CDP","NOUN,PROPN,SYM,INTJ","NN,NNP,NFP,UH",105
"x","CEA","CEA","NOUN,PROPN","NN,NNP",28
"x","CELL","CELL","PROPN,NOUN","NNP,NN",22
"x","CENP","CENP","NOUN,PROPN,SYM,VERB,X","NN,NNP,NFP,VB,GW",40
"x","CG","CG","PROPN,NOUN,VERB","NNP,NN,VB",22
"x","CGG","CGG","NOUN,X,ADJ,PROPN,VERB","NN,ADD,JJ,NNP,VB,VBG",20
"x","CH","CH","NOUN,PROPN,ADJ,DET","NN,NNP,JJ,DT",104
"x","CH2","CH2","PROPN,NUM,X,NOUN","NNP,CD,GW,NN",71
"x","CH3","CH3","PROPN,NOUN,NUM","NNP,NN,CD",42
"x","CMP","CMP","PROPN,NOUN,SYM,VERB","NNP,NN,NFP,VB",103
"x","CNS","CNS","INTJ,NOUN,PROPN,VERB,AUX,ADJ","UH,NNS,NN,NNP,VBZ,VB,NNPS,JJ",64
"x","CO","CO","PROPN,NOUN,VERB","NNP,NN,VB",105
"x","CO2","CO2","NUM,NOUN","CD,NN",388
"x","COMA","COMA","X,PROPN,NOUN","NNP,NN",25
"x","COOH","COOH","PROPN,NOUN,ADJ","NNP,NN,JJ",36
"x","COPI","COPI","PROPN,NOUN,PRON,ADJ,X","NNP,NN,PRP,NNS,JJ,AFX,LS",31
"x","COPII","COPII","NUM,NOUN,PROPN,PRON,X,ADJ,ADV","CD,NN,NNP,PRP,LS,JJ,RB",55
"x","CORD","CORD","NOUN,PROPN","NN,NNP",25
"x","COX","COX","PROPN,NOUN,VERB","NNP,NN,NNPS,VB",80
"x","CREB","CREB,CREBs","NOUN,PROPN","NN,NNP,NNS",32
"x","CSF","CSF","PROPN,NOUN,SCONJ,ADP","NNP,NN,IN",102
"x","CT","CT,CT.","PROPN,X,NOUN,ADJ,VERB","NNP,ADD,NN,JJ,VB",53
"x","CTL","CTL,CTLs","PROPN,NOUN,ADJ","NNP,NNS,JJ,NN",26
"x","CTP","CTP,CTP:","PROPN,NOUN,SYM,VERB","NNP,NN,NFP,VB",53
"x","CUG","CUG","PROPN,NOUN,X,INTJ","NNP,NN,ADD,UH",26
"x","CUL1","CUL1","NOUN","NN",22
"x","CXC","CXC","PROPN,NOUN","NNP,NN",37
"x","Ca","Ca,Cas","NOUN,PROPN,AUX","NN,NNP,MD",91
"x","Ca2","Ca2,Ca2+","NUM,PROPN,NOUN","CD,NNP,NN",71
"x","Cajal","Cajal","PROPN,ADJ,NOUN","NNP,JJ,NN",51
"x","Cdc42","Cdc42","NOUN,NUM,PROPN,X","NN,CD,NNP,GW",38
"x","Charcot","Charcot","PROPN,PART","NNP,RB",114
"x","Cl","Cl","PROPN,INTJ,NOUN,ADJ","NNP,UH,NN,JJ",39
"x","Co","Co","PROPN,X,NOUN,ADP","NNP,AFX,NN,IN",26
"","CoA","CoA,CoAs,CoA.,CoA:","NOUN,PROPN,SYM,ADP,DET,X,INTJ,PUNCT,ADJ","NN,NNP,SYM,NNS,IN,DT,AFX,FW,UH,GW,:,JJ",2183
"x","CoASH","CoASH","NOUN,PROPN,VERB","NN,NNPS,VB,NNP",21
"x","CoV","CoV,CoVs,CoV.","PROPN,NOUN,VERB","NNP,NN,VBP,NNPS",74
"x","Corti","Corti","PROPN","NNP",24
"","CpG","CpG","NOUN,ADJ,PROPN","NN,JJ,NNP",60
"x","Crohn","Crohn","PROPN,NOUN,ADJ,VERB","NNP,NN,JJ,VBN",28
"x","Cu","Cu,Cu.","NOUN,PROPN","NN,NNP",29
"x","Cvt","Cvt","NOUN,PROPN,ADJ","NN,NNP,JJS,JJ",21
"x","D.","D.","PROPN,NOUN","NNP,NN",26
"x","D1","D1","PROPN,NOUN,X,NUM","NNP,NN,GW,ADD,CD",43
"x","D2","D2","NOUN,PROPN,NUM,X","NN,NNP,CD,GW,ADD",45
"x","D3","D3","NOUN,PROPN,NUM,X","NN,NNP,CD,ADD",53
"x","D4","D4","PROPN,NUM,NOUN","NNP,CD,NN",21
"x","DAG","DAG,:DAG","PROPN,NOUN,PRON,ADJ,INTJ","NNP,NN,JJ,UH",23
"x","DAZ","DAZ","PROPN,NOUN,ADJ","NNP,NN,NNPS,JJ",25
"x","DEAD","DEAD","NOUN,VERB,ADJ","NN,VB,JJ",135
"x","DEFB","DEFB","PROPN,NUM","NNP,CD",24
"x","DIF","DIF","PROPN,NOUN,ADP","NNP,NN,IN",24
"x","DNA","DNA,DNAs","NOUN,PROPN,DET,X,SYM","NN,NNP,DT,GW,SYM,NNS",4672
"x","DNAJ","DNAJ","NOUN,PROPN","NN,NNP",34
"x","DO","DO","PROPN,AUX,X,NOUN,INTJ","NNP,VBP,AFX,NN,UH",9072
"x","DUF","DUF","ADP,PROPN","IN,NNP",37
"x","Danlo","Danlos","PROPN","NNP,NNPS",44
"x","Defensin","Defensins","NOUN","NNS",36
"x","Defensins","Defensins","ADV","RB",20
"x","DiGeorge","DiGeorge","PROPN,NOUN,ADJ","NNP,NN,JJ",20
"x","Dorland","Dorland","PROPN","NNP",90
"","Drosha","Drosha","PROPN","NNP",1914
"x","E.","E.","PROPN,NOUN","NNP,NN",80
"x","E1","E1,E1s","PROPN,NUM,NOUN","NNP,CD,NN,NNS",104
"x","E2","E2,E2s","PROPN,NUM,NOUN,X","NNP,CD,NN,LS,NNS",155
"x","E2F","E2F","NOUN,PROPN,SCONJ,ADP","NN,NNP,IN,RP",33
"x","E3","E3,E3s","PROPN,NOUN,NUM,VERB,X","NNP,NN,CD,VBP,LS,NNS",242
"x","EC","EC","PROPN","NNP",101
"x","ECM","ECM","PROPN,NOUN,AUX,ADJ","NNP,NN,VBP,JJ",22
"x","EEG","EEG,EEGs","ADJ,PROPN,X,NOUN,PRON,VERB","JJ,NNP,FW,NN,VBG,NNS",97
"x","EF","EF","PROPN,NOUN,SCONJ,ADJ,ADP","NNP,NN,IN,JJ",80
"x","EGF","EGF","PROPN,ADV,NOUN,AUX","NNP,RB,NNS,NN,VB",114
"x","EGFR","EGFR","PROPN,SCONJ,X,ADV","NNP,IN,GW,RBR",50
"x","EKG","EKG","NOUN,PROPN","NN,NNP",25
"x","EPH","EPH","INTJ,ADJ,DET","UH,JJ,DT",37
"x","ER","ER,ER.,'ER","VERB,NOUN,PROPN,ADV,ADJ,X","VB,NN,NNP,RB,JJ,RBR,GW",505
"x","ERAD","ERAD","ADJ,NOUN,PROPN,ADV","JJ,NN,NNP,RB,NNS",32
"x","ERBB4","ERBB4","NOUN,PROPN,NUM","NN,NNP,CD",31
"x","ERK","ERK,ERKs","PROPN,X,NOUN,ADJ","NNP,GW,NNPS,NNS,JJ",49
"x","ERK1","ERK1","PROPN,NUM","NNP,CD",22
"x","ETS","ETS","PROPN,NOUN","NNP,NN,NNS",30
"x","Ehler","Ehlers","PROPN,NOUN","NNP,NNS,NNPS",44
"x","Epstein","Epstein","PROPN","NNP",32
"x","F1","F1","NUM,PROPN","CD,NNP",34
"x","F420","F420,F420.,F420:","NUM,NOUN,PROPN,SYM,PUNCT","CD,NN,NNP,NFP,,",94
"x","FAD","FAD","PROPN,NOUN,ADJ,ADV,VERB","NNP,NN,JJ,RB,NNS,VBN,VB,VBP",97
"x","FAM","FAM","PROPN,NOUN,AUX,VERB","NNP,NN,VBP,VB",28
"x","FANCD","FANCD","VERB,PROPN,NOUN","VBN,NNP,NN",21
"x","FAT","FAT","PROPN,NOUN,VERB,ADJ","NNP,NN,VB,JJ",29
"x","FG","FG","ADJ,NOUN,INTJ,PROPN,VERB","JJ,NN,UH,NNP,VBG",23
"x","FGF","FGF","PROPN,ADJ,NOUN,ADP,SCONJ","NNP,JJ,NN,IN",72
"x","FGFR","FGFR","PROPN,ADJ,ADP,ADV,NOUN","NNP,JJ,IN,RB,NN",22
"x","FMN","FMN","PROPN,ADV,ADP,NOUN,CCONJ,VERB,ADJ","NNP,RB,IN,NN,CC,RP,VB,JJ",57
"x","FSH","FSH","PROPN,SCONJ,INTJ,ADJ,NOUN","NNP,IN,UH,JJ,NN",29
"x","FXYD","FXYD","PROPN,ADJ,NOUN,VERB","NNP,JJ,NN,VBD",20
"x","Fanconi","Fanconi","PROPN,X,ADJ","NNP,LS,JJ",68
"x","Fc","Fc","PROPN,ADJ,NOUN,X","NNP,JJ,NN,GW",121
"x","Fo","Fos,Fo","NOUN,ADJ,PROPN","NNS,JJ,NNP",37
"x","G0","G0","PROPN,NUM","NNP,CD",29
"x","G1","G1","NUM,PROPN,NOUN","CD,NNP,NN",159
"x","G2","G2","NUM,PROPN,NOUN","CD,NNP,NN",109
"x","GABA","GABA","PROPN,NOUN,DET,X,INTJ,ADP","NNP,NN,DT,UH,IN",153
"x","GABAergic","GABAergic","PROPN,ADJ","NNP,JJ",34
"x","GAP","GAPs,GAP","NOUN,PROPN,X,ADJ","NNS,NNP,NN,GW,JJ",82
"x","GBM","GBM,GBMs","PROPN,NOUN,VERB","NNP,NN,NNS,VBP",49
"x","GC","GC","PROPN,NOUN,VERB,X","NNP,NN,VB,FW",21
"x","GCN20","GCN20","PROPN","NNP",43
"x","GDP","GDP,:GDP","NOUN,PROPN,VERB,SYM,INTJ","NN,NNP,VB,NFP,UH",431
"x","GEF","GEF,GEFs","PROPN,NOUN,SCONJ,ADJ","NNP,NNS,IN,NNPS,NN,JJ",53
"x","GH","GH","PROPN,NOUN,SCONJ,DET,INTJ","NNP,NN,IN,DT,UH",43
"x","GM","GM","PROPN","NNP",40
"x","GMP","GMP","PROPN,NOUN,SYM,VERB,X,INTJ","NNP,NN,NNS,NFP,VB,GW,UH",116
"x","GPCR","GPCRs,GPCR","NOUN,PROPN,ADJ,X,ADP,ADV","NNS,NNP,JJR,NN,GW,JJ,IN,RB",511
"x","GPI","GPI","PROPN,NUM,PRON,NOUN,ADJ,X,INTJ","NNP,CD,PRP,NN,JJ,LS,NNS,UH",195
"x","GPR","GPR,GPRs","PROPN,NOUN,ADP","NNP,NNS,NN,IN",23
"x","GRM","GRM","PROPN,NUM,NOUN","NNP,CD,NN",26
"x","GTP","GTP","PROPN,NOUN,SYM,VERB,X,INTJ,ADJ","NNP,NN,NFP,VB,GW,UH,JJ",486
"","GTPase","GTPase,GTPases","NOUN,PROPN,ADJ,VERB,INTJ","NN,NNP,JJ,NNS,VB,NNPS,UH",507
"x","GalNAc","GalNAc,GalNAc:","PROPN,ADJ,NOUN,PUNCT","NNP,JJ,NN,:",92
"x","GalT","GalT,GalTs","PROPN,NOUN,ADJ,ADP","NNP,NNPS,NN,JJ,IN,NNS",53
"x","Galpha","Galpha,Galphas","PROPN","NNP",24
"x","GeneID","GeneID","PROPN,NOUN,VERB","NNP,NN,VBN",80
"x","Glc","Glc","NOUN,PROPN,ADJ","NN,NNP,JJ",33
"x","GlcNAc","GlcNAc","PROPN,ADJ,NOUN","NNP,JJ,NN",154
"x","Glu","Glu","PROPN","NNP",94
"x","Gly","Gly","PROPN,ADV","NNP,RB",51
"x","GnRH","GnRH","PROPN,DET,NOUN,ADJ","NNP,DT,NN,JJ",22
"","Golgi","Golgi","PROPN,NOUN,ADJ,PRON,X","NNP,NN,JJ,PRP,NNS,AFX",878
"x","Gq","Gq","PROPN","NNP",21
"x","H1","H1","PROPN,NUM,NOUN","NNP,CD,NN",118
"x","H2","H2","NUM,PROPN,X,NOUN","CD,NNP,LS,NN",285
"x","H2A","H2A,H2A.","NOUN,PROPN,SYM,DET","NN,NNP,SYM,DT",50
"x","H2B","H2B","VERB,NOUN,NUM,PROPN,ADJ","VB,NN,CD,NNP,JJ",161
"x","H2O","H2O","SYM,INTJ,X,PROPN,NOUN,VERB,PRON","NFP,UH,AFX,NNP,NN,VB,VBP,WP",2356
"x","H2O2","H2O2","NUM,NOUN,PROPN","CD,NN,NNP",85
"x","H3","H3,H3.","NOUN,NUM,PROPN,X","NN,CD,NNP,ADD,GW,LS",410
"x","H4","H4","NUM,PROPN,NOUN,X,ADP","CD,NNP,NN,ADD,LS,IN",230
"x","HDAC","HDAC,HDACs","NOUN,PROPN","NN,NNS,NNP",20
"x","HDL","HDL,HDLs","PROPN,NOUN,VERB,INTJ,ADJ","NNP,NN,VB,UH,JJ,NNS",75
"x","HECT","HECT","NOUN,PART,PROPN,X,ADJ","NN,RB,NNP,GW,JJ,ADD",23
"x","HIF","HIF","PROPN,NOUN,ADP,PRON,ADJ","NNP,NN,IN,PRP,JJ",20
"","HIV","HIV","NOUN,PROPN,VERB,AUX,X","NN,NNP,VBP,GW",148
"x","HLA","HLA","PROPN,NOUN,INTJ,X,DET,ADJ","NNP,NN,UH,AFX,DT,JJ",148
"x","HMG","HMG","PROPN,ADJ,VERB,INTJ,NOUN,PRON","NNP,JJ,VBG,UH,NN",63
"x","HOXA","HOXA","PROPN,ADJ,NOUN","NNP,JJ,NN",23
"x","HOXC","HOXC","PROPN,NOUN","NNP,NN",29
"x","HOXD","HOXD","PROPN,VERB,NOUN,ADJ","NNP,VBN,NN,JJ",41
"x","HPV","HPVs,HPV","NOUN,PROPN,AUX","NNS,NNP,NN,VBP",29
"x","Henle","Henle","PROPN,NOUN,ADJ","NNP,NN,JJ",45
"x","Hermansky","Hermansky","PROPN,ADJ","NNP,JJ",26
"x","Hg","Hg","NOUN,PROPN,ADJ,ADV","NN,NNP,JJ,RB",33
"x","Hirschsprung","Hirschsprung","ADJ,NOUN,VERB","JJ,NN,VBG",20
"x","Hodgkin","Hodgkin","PROPN,ADJ,X,ADP,NOUN","NNP,JJ,GW,IN,NN",32
"x","Holliday","Holliday","NOUN,PROPN","NN,NNP",35
"x","Hsp70","Hsp70,Hsp70s","PROPN,NUM,NOUN","NNP,CD,NNS",20
"x","Huntington","Huntington","PROPN","NNP",26
"x","Hypersensitivity","Hypersensitivity","NOUN","NN",24
"x","Hz","Hz","NOUN","NN",31
"x","IA","IA","NOUN,PROPN,ADP,SYM","NN,NNP,IN,SYM",23
"x","ID","ID,IDs","NOUN,PROPN","NN,NNP,NNS",26
"x","IF","IF","PROPN,ADJ,SCONJ","NNP,JJ,IN",29
"","IFN","IFN,IFNs","ADJ,ADP,PROPN,CCONJ,NOUN,VERB","JJ,IN,NNP,NNPS,CC,NNS,VBP,NN",64
"x","IFT","IFT","PROPN,ADP,X,NOUN,PART","NNP,IN,ADD,NN,RB",29
"x","IGF","IGF,IGFs","PROPN,SCONJ,NOUN,ADP","NNP,IN,NN,NNS,RP",37
"x","IGFBP","IGFBP,IGFBPs","NOUN,PROPN,ADJ","NN,NNP,JJ,NNS",20
